,Model,Fuel Type,Engine Size,Transmission,Mileage,Doors,BHP,Year,MPG,Body Type,Colour,Previous Keepers,Ultra Low Emission Zone  ,Tax,Price,CO2,MOT Expires,Interior Trim,Euro Status,VAT Qualifying
288,4 Series,Diesel,2.0L,Manual,"45,199 miles",4,188 bhp,2018 (68),62.8,Coupe,BLACK SAPPHIRE,,Euro 6,£199,"£19,000",119 g/km,,BLACK DAKOTA LEATHER,,
289,3 Series,Diesel,3.0L,Automatic,"31,745 miles",4,255 bhp,2016 (66),56.5,Saloon,WHITE,2.0,Euro 6,£199,"£19,000",131 g/km,30-10-2021,,,
290,4 Series,Petrol,2.0L,Automatic,"60,048 miles",4,181 bhp,2017 (17),45.6,Coupe,ESTORIL BLUE,1.0,Euro 6,£199,"£19,000",144 g/km,01-11-2022,BLACK DAKOTA LEATHER,,
291,1 Series,Petrol,1.5L,Manual,"22,149 miles",5,134 bhp,2019 (19),52.3,Hatchback,WHITE,1.0,Euro 6,£199,"£19,000",126 g/km,,,,
292,1 Series,Petrol,1.5L,Manual,"12,399 miles",3,134 bhp,2019 (19),52.3,Hatchback,WHITE,1.0,Euro 6,£199,"£19,000",126 g/km,,,,
293,3 Series,Diesel,2.0L,Automatic,"27,074 miles",5,188 bhp,2017 (17),62.8,Hatchback,GLACIER SILVER,2.0,Euro 6,£199,"£19,000",118 g/km,28-03-2022,BLACK DAKOTA LEATHER,,
294,5 Series,Diesel,2.0L,Automatic,"74,206 miles",4,188 bhp,2017 (67),72.4,Saloon,WHITE,1.0,Euro 6,£199,"£18,950",102 g/km,28-09-2022,,,
295,4 Series,Diesel,2.0L,Automatic,"47,550 miles",4,188 bhp,2017 (17),65.7,Coupe,ESTORIL BLUE,1.0,Euro 6,£199,"£18,900",114 g/km,20-09-2022,,,
296,5 Series,Diesel,3.0L,Automatic,"72,878 miles",4,255 bhp,2016 (66),51.4,Saloon,SPACE GREY,,Euro 6,£199,"£18,900",144 g/km,28-03-2022,BLACK DAKOTA LEATHER,,
297,3 Series,Diesel,2.0L,Automatic,"29,674 miles",4,188 bhp,2016 (66),64.2,Saloon,BLACK SAPPHIRE,,Euro 6,£199,"£18,900",116 g/km,16-09-2022,,,
298,X1,Petrol,1.5L,Manual,"36,923 miles",5,138 bhp,2018 (18),51.4,Estate,BLACK,1.0,Euro 6,£199,"£18,900",127 g/km,15-04-2022,,,
299,3 Series,Diesel,2.0L,Automatic,"68,176 miles",4,188 bhp,2017 (67),64.2,Saloon,WHITE,2.0,Euro 6,£199,"£18,850",116 g/km,11-01-2022,,,
300,1 Series,Petrol,2.0L,Automatic,"8,848 miles",3,181 bhp,2018 (18),47.9,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£18,800",135 g/km,30-03-2022,,,
301,3 Series,Diesel,2.0L,Automatic,"39,405 miles",4,188 bhp,2018 (18),62.8,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£18,800",118 g/km,11-07-2022,,,
302,2 Series,Petrol,1.5L,Manual,"35,199 miles",5,134 bhp,2018 (67),53.3,Hatchback,GREY,2.0,Euro 6,£199,"£18,800",124 g/km,29-03-2022,,,
303,4 Series,Diesel,2.0L,Automatic,"69,297 miles",2,188 bhp,2018 (18),65.7,Coupe,BLUE,2.0,Euro 6,£199,"£18,800",114 g/km,01-11-2022,,,
304,4 Series,Diesel,2.0L,Automatic,"33,898 miles",4,188 bhp,2015 (65),58.9,Coupe,BLACK,2.0,Euro 6,£199,"£18,750",126 g/km,22-08-2022,,,
305,X1,Diesel,2.0L,Automatic,"33,352 miles",5,148 bhp,2017 (67),65.7,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£18,750",114 g/km,03-09-2022,,,
306,3 Series,Diesel,2.0L,Automatic,"40,053 miles",4,188 bhp,2016 (66),64.2,Saloon,ESTORIL BLUE,2.0,Euro 6,£199,"£18,700",116 g/km,23-11-2021,,,
307,2 Series,Petrol,1.5L,Manual,"58,530 miles",5,138 bhp,2019 (19),51.4,Estate,RED,1.0,Euro 6,£199,"£18,700",137 g/km,,,,
308,3 Series,Diesel,2.0L,Manual,"36,977 miles",4,188 bhp,2018 (18),64.2,Saloon,BLACK,1.0,Euro 6,£199,"£18,600",116 g/km,11-07-2022,,,
309,1 Series,Petrol,1.5L,Manual,"9,889 miles",5,134 bhp,2019 (19),37.7,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£18,600",137 g/km,,,,
310,X1,Diesel,2.0L,Manual,"17,602 miles",5,148 bhp,2017 (17),68.9,Estate,WHITE,1.0,Euro 6,£199,"£18,600",109 g/km,05-08-2022,,,
311,2 Series,Diesel,1.5L,Automatic,"23,790 miles",5,114 bhp,2018 (18),56.5,Hatchback,WHITE,2.0,Euro 6,£199,"£18,600",113 g/km,05-05-2022,,,
312,4 Series,Diesel,2.0L,Automatic,"50,125 miles",2,188 bhp,2016 (66),65.7,Coupe,MINERAL GREY,,Euro 6,£199,"£18,500",114 g/km,24-05-2022,,,
313,I3,Hybrid Petrol,0.6L,Automatic,"30,237 miles",5,168 bhp,2018 (68),0.6,Hatchback,RED,1.0,Euro 6,£199,"£18,500",13 g/km,,,,
314,2 Series,Diesel,2.0L,Automatic,"42,214 miles",5,187 bhp,2018 (68),49.6,Hatchback,ORANGE,1.0,Euro 6,£199,"£18,500",124 g/km,30-07-2022,,,
315,X1,Diesel,2.0L,Manual,"42,574 miles",5,188 bhp,2016 (66),58.9,Estate,WHITE,,Euro 6,£199,"£18,500",127 g/km,29-09-2022,,,
316,3 Series,Diesel,2.0L,Manual,"23,936 miles",5,188 bhp,2018 (18),62.8,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£18,500",118 g/km,09-07-2022,,,
317,2 Series,Petrol,1.5L,Automatic,"31,331 miles",2,134 bhp,2019 (19),53.3,Coupe,ALPINE WHITE,1.0,Euro 6,£199,"£18,500",124 g/km,,,,
318,3 Series,Diesel,2.0L,Automatic,"42,174 miles",5,188 bhp,2017 (17),60.1,Hatchback,RED,1.0,Euro 6,£199,"£18,500",124 g/km,24-02-2022,,,
319,4 Series,Diesel,2.0L,Automatic,"52,104 miles",2,188 bhp,2017 (17),65.7,Coupe,WHITE,1.0,Euro 6,£199,"£18,500",114 g/km,24-07-2022,,,
320,2 Series,Diesel,2.0L,Manual,"39,222 miles",5,188 bhp,2016 (66),60.1,Estate,WHITE,,Euro 6,£199,"£18,450",124 g/km,05-07-2022,,,
321,3 Series,Diesel,3.0L,Automatic,"44,503 miles",4,308 bhp,2015 (65),51.4,Saloon,WHITE,,Euro 6,£199,"£18,450",145 g/km,24-08-2022,,,
322,3 Series,Diesel,2.0L,Automatic,"55,548 miles",4,188 bhp,2018 (68),64.2,Saloon,ALPINE WHITE,1.0,Euro 6,£199,"£18,400",116 g/km,06-07-2022,BLACK DAKOTA LEATHER,,
323,2 Series,Diesel,2.0L,Automatic,"40,940 miles",2,222 bhp,2016 (66),61.4,Coupe,WHITE,,Euro 6,£199,"£18,400",121 g/km,,,,
324,2 Series,Diesel,2.0L,Automatic,"35,993 miles",2,188 bhp,2017 (17),65.7,Coupe,GREY,2.0,Euro 6,£199,"£18,400",113 g/km,30-03-2022,,,
325,2 Series,Petrol,2.0L,Automatic,"30,670 miles",2,181 bhp,2016 (16),43.5,Convertible,MELBOURNE RED,,Euro 6,£199,"£18,400",152 g/km,14-09-2022,BLACK DAKOTA LEATHER,,
326,2 Series,Petrol,1.5L,Manual,"31,973 miles",5,138 bhp,2018 (68),42.8,Hatchback,RED,1.0,Euro 6,£199,"£18,400",132 g/km,04-09-2022,,,
327,7 Series,Diesel,3.0L,Automatic,"72,149 miles",4,255 bhp,2015 (15),50.4,Saloon,SILVER,,,£199,"£18,400",148 g/km,27-10-2022,,Euro 5,
328,4 Series,Diesel,2.0L,Automatic,"55,765 miles",2,188 bhp,2016 (66),60.1,Convertible,BLACK,2.0,Euro 6,£199,"£18,400",124 g/km,16-09-2022,,,
329,3 Series,Petrol,2.0L,Automatic,"49,197 miles",4,248 bhp,2016 (16),48.7,Saloon,BMW Individual - Tanzanite Blue Metallic,2.0,Euro 6,£199,"£18,300",136 g/km,05-08-2022,BLACK DAKOTA LEATHER,,
330,3 Series,Petrol,2.0L,Automatic,"77,689 miles",4,181 bhp,2018 (18),48.7,Saloon,BLUE,1.0,Euro 6,£199,"£18,300",134 g/km,27-08-2022,,,
331,1 Series,Diesel,2.0L,Automatic,"40,685 miles",5,147 bhp,2019 (19),49.6,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£18,300",118 g/km,,,,
332,4 Series,Diesel,3.0L,Automatic,"32,448 miles",2,255 bhp,2015 (65),55.4,Coupe,GREY,1.0,Euro 6,£199,"£18,300",134 g/km,11-10-2022,,,
333,3 Series,Petrol,2.0L,Automatic,"29,967 miles",4,181 bhp,2015 (65),48.7,Saloon,MINERAL GREY,,Euro 6,£199,"£18,300",134 g/km,20-05-2022,,,
334,3 Series,Diesel,2.0L,Automatic,"48,637 miles",4,188 bhp,2017 (66),64.2,Saloon,BLACK SAPPHIRE,,Euro 6,£199,"£18,300",116 g/km,17-09-2022,CORAL RED DAKOTA LEATHER,,
335,3 Series,Diesel,2.0L,Automatic,"27,280 miles",4,188 bhp,2016 (66),64.2,Saloon,MINERAL GREY,,Euro 6,£199,"£18,250",116 g/km,16-12-2021,CORAL RED DAKOTA LEATHER,,
336,2 Series,Petrol,1.5L,Manual,"24,325 miles",5,138 bhp,2018 (68),42.2,Hatchback,BLACK,1.0,Euro 6,£199,"£18,200",132 g/km,30-10-2022,,,
337,5 Series,Diesel,2.0L,Automatic,"23,571 miles",4,188 bhp,2014 (64),62.8,Saloon,Sophisto Grey Xirallic,,Euro 6,£199,"£18,200",119 g/km,25-08-2022,BLACK DAKOTA LEATHER,,
338,I3,Hybrid Petrol,0.6L,Automatic,"33,759 miles",5,,2017 (66),,Hatchback,Capparis White with highlight BMW i Blue,2.0,Euro 6,£199,"£18,100",12 g/km,12-10-2022,,,
339,1 Series,Petrol,1.5L,Automatic,"34,806 miles",5,134 bhp,2017 (67),54.3,Hatchback,BLACK,,Euro 6,£199,"£18,100",122 g/km,10-03-2022,,,
340,2 Series,Petrol,1.5L,Manual,"33,381 miles",5,134 bhp,2018 (18),53.3,Hatchback,GREY,2.0,Euro 6,£199,"£18,100",124 g/km,19-03-2022,,,
341,3 Series,Diesel,2.0L,Automatic,"45,280 miles",4,188 bhp,2017 (17),64.2,Saloon,GREY,2.0,Euro 6,£199,"£18,100",116 g/km,15-03-2022,,,
342,3 Series,Diesel,2.0L,Automatic,"53,588 miles",5,188 bhp,2018 (18),65.7,Estate,JET BLACK,1.0,Euro 6,£199,"£18,100",114 g/km,01-06-2022,,,
343,3 Series,Diesel,2.0L,Automatic,"49,546 miles",4,188 bhp,2016 (16),64.2,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£18,050",116 g/km,27-12-2021,,,
344,3 Series,Diesel,2.0L,Automatic,"21,034 miles",4,188 bhp,2017 (67),67.3,Saloon,SILVER,2.0,Euro 6,£199,"£18,000",111 g/km,10-09-2022,,,
345,1 Series,Petrol,1.5L,Automatic,"30,981 miles",5,134 bhp,2018 (68),37.2,Hatchback,GREY,1.0,Euro 6,£199,"£18,000",131 g/km,24-10-2022,,,
346,2 Series,Diesel,2.0L,Manual,"12,063 miles",2,148 bhp,2018 (67),64.2,Coupe,WHITE,1.0,Euro 6,£199,"£18,000",116 g/km,22-02-2022,,,
347,5 Series,Diesel,3.0L,Automatic,"41,919 miles",4,308 bhp,2015 (15),50.4,Saloon,BLACK,,Euro 6,£199,"£18,000",148 g/km,22-08-2022,,,
348,2 Series,Petrol,1.5L,Manual,"28,651 miles",2,134 bhp,2018 (68),52.3,Coupe,BLACK SAPPHIRE,1.0,Euro 6,£199,"£18,000",125 g/km,13-09-2022,,,
349,5 Series,Diesel,2.0L,Automatic,"42,996 miles",5,188 bhp,2015 (15),60.1,Estate,GLACIER SILVER,2.0,Euro 6,£199,"£18,000",123 g/km,28-02-2022,,,
350,3 Series,Diesel,3.0L,Automatic,"57,421 miles",4,308 bhp,2016 (66),51.4,Saloon,MINERAL GREY,2.0,Euro 6,£199,"£18,000",145 g/km,31-10-2021,BLACK DAKOTA LEATHER,,
351,2 Series,Petrol,1.5L,Manual,"24,002 miles",5,138 bhp,2018 (68),42.8,Hatchback,BLACK,1.0,Euro 6,£199,"£18,000",132 g/km,18-09-2022,,,
352,1 Series,Petrol,1.5L,Manual,"12,612 miles",5,134 bhp,2018 (68),37.2,Hatchback,ALPINE WHITE,2.0,Euro 6,£199,"£18,000",137 g/km,,,,
353,3 Series,Diesel,2.0L,Automatic,"50,345 miles",5,188 bhp,2016 (66),62.8,Estate,ESTORIL BLUE,1.0,Euro 6,£199,"£18,000",119 g/km,14-10-2022,BLACK DAKOTA LEATHER,,
354,3 Series,Petrol,2.0L,Automatic,"41,075 miles",4,181 bhp,2018 (68),51.4,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£18,000",129 g/km,30-09-2022,,,
355,3 Series,Diesel,2.0L,Automatic,"31,248 miles",4,188 bhp,2016 (66),64.2,Saloon,GLACIER SILVER,2.0,Euro 6,£199,"£18,000",116 g/km,05-10-2022,BLACK DAKOTA LEATHER,,
356,2 Series,Diesel,2.0L,Automatic,"27,283 miles",5,188 bhp,2016 (66),64.2,Hatchback,BLACK,2.0,Euro 6,£199,"£18,000",117 g/km,07-12-2021,,,
357,5 Series,Diesel,2.0L,Automatic,"83,586 miles",4,188 bhp,2017 (67),68.9,Saloon,BLUE,1.0,Euro 6,£199,"£17,950",108 g/km,24-10-2022,,,
358,1 Series,Diesel,1.5L,Automatic,"38,895 miles",5,114 bhp,2018 (18),68.9,Hatchback,BLACK,2.0,Euro 6,£199,"£17,900",107 g/km,29-09-2022,,,
359,3 Series,Petrol,2.0L,Manual,"31,283 miles",4,181 bhp,2018 (67),47.9,Saloon,MINERAL GREY,1.0,Euro 6,£199,"£17,900",138 g/km,07-01-2022,,,
360,3 Series,Diesel,3.0L,Automatic,"53,091 miles",5,308 bhp,2015 (15),49.6,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£17,900",149 g/km,14-03-2022,,,
361,5 Series,Diesel,2.0L,Automatic,"59,214 miles",5,188 bhp,2016 (16),60.1,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£17,900",123 g/km,19-03-2022,,,
362,2 Series,Petrol,1.5L,Manual,"34,558 miles",5,138 bhp,2018 (68),40.9,Estate,GREY,1.0,Euro 6,£199,"£17,900",137 g/km,30-10-2022,,,
363,2 Series,Petrol,1.5L,Manual,"23,676 miles",5,138 bhp,2018 (18),42.8,Hatchback,BLACK,1.0,Euro 6,£199,"£17,900",132 g/km,28-06-2022,,,
364,3 Series,Diesel,3.0L,Automatic,"61,942 miles",4,308 bhp,2015 (65),51.4,Saloon,BLACK SAPPHIRE,,Euro 6,£199,"£17,900",145 g/km,22-09-2022,CORAL RED DAKOTA LEATHER,,
365,X1,Diesel,2.0L,Manual,"57,712 miles",5,148 bhp,2016 (66),60.1,Estate,MINERAL WHITE,2.0,Euro 6,£199,"£17,900",124 g/km,24-06-2022,,,
366,2 Series,Petrol,1.5L,Manual,"32,217 miles",5,138 bhp,2018 (18),40.4,Estate,BLUE,1.0,Euro 6,£199,"£17,900",137 g/km,29-06-2022,,,
367,4 Series,Diesel,2.0L,Automatic,"58,332 miles",2,188 bhp,2017 (17),65.7,Coupe,WHITE,1.0,Euro 6,£199,"£17,900",114 g/km,30-03-2022,,,
368,3 Series,Diesel,2.0L,Automatic,"51,168 miles",5,188 bhp,2016 (16),60.1,Hatchback,WHITE,,Euro 6,£199,"£17,800",124 g/km,30-09-2022,,,
369,X1,Diesel,2.0L,Manual,"26,374 miles",5,148 bhp,2017 (67),68.9,Estate,WHITE,1.0,Euro 6,£199,"£17,800",109 g/km,01-09-2022,,,
370,3 Series,Diesel,3.0L,Automatic,"49,162 miles",4,255 bhp,2015 (65),53.3,Saloon,ESTORIL BLUE,,Euro 6,£199,"£17,800",139 g/km,08-10-2022,BLACK DAKOTA LEATHER,,
371,2 Series,Petrol,1.5L,Manual,"36,244 miles",5,134 bhp,2017 (66),51.4,Estate,WHITE,2.0,Euro 6,£199,"£17,800",127 g/km,11-04-2022,,,
372,2 Series,Diesel,2.0L,Manual,"20,957 miles",5,188 bhp,2018 (18),64.2,Hatchback,BLACK,1.0,Euro 6,£199,"£17,750",115 g/km,03-02-2022,,,
373,1 Series,Diesel,2.0L,Automatic,"51,109 miles",5,147 bhp,2018 (18),67.3,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£17,700",110 g/km,15-03-2022,,,
374,3 Series,Diesel,2.0L,Automatic,"33,513 miles",4,148 bhp,2018 (68),67.3,Saloon,Mediterranean Blue,2.0,Euro 6,£199,"£17,700",111 g/km,,BLACK DAKOTA LEATHER,,
375,X1,Diesel,2.0L,Automatic,"56,004 miles",5,148 bhp,2017 (67),65.7,Estate,MINERAL WHITE,2.0,Euro 6,£199,"£17,700",114 g/km,17-05-2022,,,
376,1 Series,Petrol,1.5L,Automatic,"25,923 miles",5,134 bhp,2018 (18),37.2,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£17,600",131 g/km,22-08-2022,,,
377,3 Series,Diesel,2.0L,Automatic,"41,928 miles",5,161 bhp,2018 (18),67.3,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£17,600",111 g/km,29-06-2022,,,
378,5 Series,Diesel,2.0L,Automatic,"48,979 miles",4,188 bhp,2016 (16),62.8,Saloon,MINERAL GREY,2.0,Euro 6,£199,"£17,600",119 g/km,17-12-2021,BLACK DAKOTA LEATHER,,
379,2 Series,Petrol,1.5L,Automatic,"27,932 miles",2,134 bhp,2016 (66),51.4,Coupe,GREY,1.0,Euro 6,£199,"£17,600",129 g/km,,,,
380,1 Series,Diesel,2.0L,Automatic,"44,645 miles",5,221 bhp,2017 (67),61.4,Hatchback,BLACK SAPPHIRE,1.0,Euro 6,£199,"£17,500",121 g/km,27-01-2022,,,
381,1 Series,Petrol,1.5L,Automatic,"20,452 miles",5,134 bhp,2018 (68),37.7,Hatchback,GLACIER SILVER,1.0,Euro 6,£199,"£17,500",128 g/km,06-07-2022,,,
382,3 Series,Hybrid Petrol,2.0L,Automatic,"44,216 miles",4,,2017 (17),,Saloon,ALPINE WHITE,2.0,Euro 6,£199,"£17,500",44 g/km,20-06-2022,,,
383,2 Series,Petrol,1.5L,Manual,"29,064 miles",2,134 bhp,2018 (18),48.7,Convertible,ALPINE WHITE,1.0,Euro 6,£199,"£17,500",136 g/km,28-03-2022,,,
384,3 Series,Diesel,2.0L,Automatic,"47,411 miles",5,188 bhp,2017 (17),62.8,Estate,WHITE,2.0,Euro 6,£199,"£17,500",119 g/km,13-07-2022,,,
385,3 Series,Diesel,2.0L,Automatic,"39,463 miles",4,161 bhp,2018 (68),74.3,Saloon,BLACK,1.0,Euro 6,£199,"£17,500",99 g/km,18-10-2022,,,
386,2 Series,Petrol,1.5L,Manual,"23,302 miles",5,138 bhp,2018 (18),40.9,Estate,RED,2.0,Euro 6,£199,"£17,500",137 g/km,28-06-2022,,,
387,2 Series,Petrol,1.5L,Manual,"19,060 miles",5,138 bhp,2019 (68),42.8,Hatchback,SILVER,2.0,Euro 6,£199,"£17,500",132 g/km,22-09-2022,,,
388,1 Series,Diesel,2.0L,Automatic,"41,544 miles",5,147 bhp,2018 (67),67.3,Hatchback,ESTORIL BLUE,,Euro 6,£199,"£17,500",110 g/km,30-06-2022,,,
389,3 Series,Hybrid Petrol,2.0L,Automatic,"54,303 miles",4,,2017 (66),,Saloon,BLACK,2.0,Euro 6,£199,"£17,500",49 g/km,19-10-2022,,,
390,5 Series,Diesel,2.0L,Automatic,"54,091 miles",5,188 bhp,2015 (65),60.1,Estate,CARBON BLACK,2.0,Euro 6,£199,"£17,450",123 g/km,18-11-2021,BLACK DAKOTA LEATHER,,
391,1 Series,Petrol,1.5L,Automatic,"24,425 miles",5,134 bhp,2017 (17),58.9,Hatchback,BLUE,2.0,Euro 6,£199,"£17,400",112 g/km,05-04-2022,,,
392,5 Series,Diesel,2.0L,Automatic,"33,673 miles",5,148 bhp,2017 (17),62.8,Estate,GLACIER SILVER,1.0,Euro 6,£199,"£17,400",118 g/km,08-03-2022,BLACK DAKOTA LEATHER,,
393,X1,Petrol,1.5L,Manual,"54,744 miles",5,138 bhp,2018 (18),51.4,Estate,BLACK,1.0,Euro 6,£199,"£17,400",129 g/km,15-07-2022,,,
394,4 Series,Diesel,2.0L,Automatic,"50,749 miles",4,188 bhp,2016 (16),58.9,Coupe,ALPINE WHITE,,Euro 6,£199,"£17,400",126 g/km,03-02-2022,BLACK DAKOTA LEATHER,,
395,5 Series,Diesel,3.0L,Automatic,"75,048 miles",4,308 bhp,2015 (65),50.4,Saloon,ALPINE WHITE,,Euro 6,£199,"£17,400",148 g/km,17-09-2022,BLACK DAKOTA LEATHER,,
396,1 Series,Petrol,1.5L,Manual,"23,895 miles",5,134 bhp,2017 (67),53.3,Hatchback,BLACK,1.0,Euro 6,£199,"£17,300",123 g/km,18-12-2021,,,
397,3 Series,Diesel,2.0L,Manual,"22,688 miles",4,148 bhp,2018 (68),67.3,Saloon,Mediterranean Blue,2.0,Euro 6,£199,"£17,300",111 g/km,11-11-2022,,,
398,3 Series,Diesel,2.0L,Automatic,"19,319 miles",4,148 bhp,2016 (16),67.3,Saloon,Mediterranean Blue,,Euro 6,£199,"£17,300",111 g/km,13-08-2022,,,
399,3 Series,Diesel,3.0L,Automatic,"77,215 miles",4,308 bhp,2016 (16),51.4,Saloon,ESTORIL BLUE,,Euro 6,£199,"£17,300",145 g/km,15-10-2022,OYSTER DAKOTA LEATHER,,
400,2 Series,Petrol,1.5L,Manual,"19,462 miles",2,134 bhp,2017 (67),52.3,Coupe,MINERAL GREY,1.0,Euro 6,£199,"£17,300",130 g/km,,BLACK DAKOTA LEATHER,,
401,X1,Diesel,2.0L,Manual,"55,960 miles",5,148 bhp,2017 (67),68.9,Estate,Mediterranean Blue,1.0,Euro 6,£199,"£17,300",109 g/km,29-09-2022,,,
402,3 Series,Diesel,2.0L,Automatic,"41,052 miles",4,181 bhp,2015 (65),62.8,Saloon,BLACK SAPPHIRE,2.0,,£199,"£17,300",118 g/km,12-01-2022,,Euro 5,
403,1 Series,Petrol,1.5L,Manual,"41,174 miles",5,134 bhp,2018 (68),37.2,Hatchback,MINERAL GREY,1.0,Euro 6,£199,"£17,300",137 g/km,22-09-2022,,,
404,2 Series,Petrol,1.5L,Manual,"35,354 miles",5,138 bhp,2018 (18),40.4,Estate,BLACK,1.0,Euro 6,£199,"£17,300",137 g/km,26-08-2022,,,
405,3 Series,Petrol,2.0L,Manual,"34,778 miles",4,181 bhp,2016 (66),47.9,Saloon,BLACK SAPPHIRE,1.0,Euro 6,£199,"£17,200",138 g/km,11-10-2022,BLACK DAKOTA LEATHER,,
406,X1,Diesel,2.0L,Manual,"41,384 miles",5,148 bhp,2017 (17),68.9,Estate,BLACK SAPPHIRE,1.0,Euro 6,£199,"£17,200",109 g/km,25-08-2022,,,
407,5 Series,Diesel,3.0L,Automatic,"63,689 miles",4,308 bhp,2015 (15),50.4,Saloon,BLACK,,Euro 6,£199,"£17,200",148 g/km,09-03-2022,,,
408,1 Series,Diesel,2.0L,Manual,"29,546 miles",5,147 bhp,2017 (67),65.7,Hatchback,ESTORIL BLUE,1.0,Euro 6,£199,"£17,200",114 g/km,13-09-2022,,,
409,2 Series,Petrol,2.0L,Automatic,"46,906 miles",5,189 bhp,2018 (18),50.4,Hatchback,WHITE,1.0,Euro 6,£199,"£17,200",127 g/km,09-06-2022,,,
410,I3,Hybrid Petrol,0.6L,Automatic,"58,895 miles",5,168 bhp,2018 (68),0.6,Hatchback,WHITE,1.0,Euro 6,£199,"£17,100",13 g/km,,,,
411,2 Series,Diesel,2.0L,Manual,"27,456 miles",2,188 bhp,2016 (66),60.1,Convertible,WHITE,2.0,Euro 6,£199,"£17,100",124 g/km,31-08-2021,,,
412,1 Series,Diesel,1.5L,Manual,"4,589 miles",5,114 bhp,2019 (19),78.5,Hatchback,BLACK,1.0,Euro 6,£199,"£17,100",94 g/km,,,,
413,2 Series,Petrol,1.5L,Manual,"22,299 miles",5,138 bhp,2018 (68),44.1,Hatchback,BEIGE,1.0,Euro 6,£199,"£17,100",132 g/km,20-09-2022,,,
414,1 Series,Petrol,1.5L,Automatic,"34,278 miles",5,134 bhp,2018 (68),37.7,Hatchback,SUNSET ORANGE,1.0,Euro 6,£199,"£17,050",128 g/km,10-10-2022,,,
415,2 Series,Petrol,1.5L,Manual,"8,901 miles",5,138 bhp,2020 (20),44.1,Hatchback,ORANGE,1.0,Euro 6,£199,"£17,000",132 g/km,,,,
416,3 Series,Diesel,2.0L,Manual,"18,085 miles",4,188 bhp,2017 (67),67.3,Saloon,JET BLACK,1.0,Euro 6,£199,"£17,000",111 g/km,,,,
417,3 Series,Petrol,1.5L,Automatic,"34,300 miles",4,134 bhp,2017 (17),54.3,Saloon,GREY,2.0,Euro 6,£199,"£17,000",122 g/km,24-08-2022,,,
418,3 Series,Diesel,2.0L,Automatic,"41,183 miles",4,148 bhp,2016 (66),64.2,Saloon,WHITE,1.0,Euro 6,£199,"£17,000",116 g/km,26-07-2022,BLACK DAKOTA LEATHER,,
419,3 Series,Diesel,2.0L,Manual,"28,380 miles",4,148 bhp,2016 (66),64.2,Saloon,GREY,2.0,Euro 6,£199,"£17,000",116 g/km,01-12-2021,,,
420,3 Series,Diesel,2.0L,Automatic,"55,206 miles",5,161 bhp,2018 (18),67.3,Estate,BLACK,1.0,Euro 6,£199,"£17,000",111 g/km,30-09-2022,,,
421,3 Series,Petrol,2.0L,Automatic,"31,368 miles",4,181 bhp,2017 (17),51.4,Saloon,SILVER,2.0,Euro 6,£199,"£17,000",129 g/km,19-10-2022,,,
422,1 Series,Petrol,1.5L,Manual,"18,631 miles",5,134 bhp,2019 (19),37.7,Hatchback,ALPINE WHITE,1.0,Euro 6,£199,"£17,000",137 g/km,,,,
423,3 Series,Diesel,2.0L,Automatic,"61,362 miles",4,188 bhp,2018 (18),62.8,Saloon,MINERAL WHITE,1.0,Euro 6,£199,"£17,000",118 g/km,04-03-2022,,,
424,2 Series,Petrol,1.5L,Manual,"38,984 miles",2,134 bhp,2018 (68),52.3,Coupe,BLACK,1.0,Euro 6,£199,"£16,950",125 g/km,26-09-2022,,,
425,3 Series,Diesel,3.0L,Automatic,"68,095 miles",5,255 bhp,2015 (15),51.4,Hatchback,GREY,2.0,Euro 6,£199,"£16,900",144 g/km,08-12-2021,,,
426,2 Series,Petrol,1.5L,Manual,"22,402 miles",5,138 bhp,2018 (68),44.1,Hatchback,BLACK,1.0,Euro 6,£199,"£16,900",132 g/km,12-09-2022,,,
427,1 Series,Petrol,2.0L,Automatic,"26,045 miles",5,181 bhp,2017 (67),48.7,Hatchback,SUNSET ORANGE,2.0,Euro 6,£199,"£16,900",133 g/km,07-02-2022,,,
428,3 Series,Diesel,3.0L,Automatic,"57,762 miles",5,255 bhp,2015 (65),54.3,Hatchback,SILVER,2.0,Euro 6,£199,"£16,900",137 g/km,29-10-2021,,,
429,3 Series,Petrol,1.5L,Automatic,"35,056 miles",4,134 bhp,2017 (67),54.3,Saloon,Mediterranean Blue,,Euro 6,£199,"£16,900",122 g/km,30-09-2022,,,
430,2 Series,Diesel,2.0L,Automatic,"39,390 miles",5,187 bhp,2018 (18),49.6,Hatchback,BEIGE,1.0,Euro 6,£199,"£16,900",124 g/km,11-04-2022,,,
